מפקד האוכלוסין 2008,,חזרה להסברים על הקובץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הלשכה המרכזית לסטטיסטיקה,,חזרה לאינדקס משתנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,תכונות גאוגרפיות ומשתנים דמוגרפיים ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,באר שבע,6,64,642,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,4.4,2.2,2.2,,1,יהודים,97.1,,32.1,62.7,5.2,34.2,60.8,5.0,29.9,64.7,5.4,724.5,27.0,25.0,29.0,57.7,42.3,57.9,42.1,57.5,42.5,73.5,26.5,20.5,36.6,41.5,1.4,33.8,8.1,31.3,25.1,1.7
291,באר שבע,6,64,643,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,4.9,2.5,2.5,,1,יהודים,95.9,,32.5,62.1,5.4,33.0,61.2,5.8,32.0,63.0,5.0,718.4,30.0,30.0,30.0,64.7,35.3,65.3,34.7,64.1,35.9,74.6,25.4,28.4,47.2,21.9,2.5,33.2,9.8,32.3,22.0,2.7
292,באר שבע,6,64,644,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,1.4,0.7,0.7,,1,יהודים,98.7,,18.3,76.0,5.7,18.3,74.6,7.1,18.3,77.4,4.2,378.6,32.0,32.0,32.0,59.0,41.0,58.0,42.0,60.0,40.0,71.3,28.7,50.4,44.7,3.0,1.9,26.1,13.1,40.6,18.4,1.8
293,באר שבע,6,64,645,9000,1948,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,310,"מטרופולין באר שבע, גלעין",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,8.6,4.2,4.4,,1,יהודים,95.5,,37.3,60.0,2.7,38.0,59.0,3.1,36.7,60.9,2.4,722.8,27.0,28.0,27.0,71.6,28.4,71.5,28.5,71.7,28.3,81.9,18.1,15.2,36.7,44.7,3.5,39.5,8.4,30.0,19.8,2.4
294,בועיינה-נוג'ידאת,,,,482,,2,מחוז הצפון,23,נפת יזרעאל,237,הרי נצרת-תירען,,ללא שיוך למטרופולין,280,"יישוב לא יהודי 9,999-5,000 תושבים",99,מועצה מקומית,7.1,7.8,4.0,3.8,1106.5,2,מוסלמים,97.3,,46.2,51.5,2.3,46.8,51.2,2.0,45.5,51.8,2.7,1128.2,19.0,19.0,20.0,59.5,40.5,58.0,42.0,61.0,39.0,,,,,,,,,,,
295,בוקעאתא,,,,4001,,2,מחוז הצפון,29,נפת גולן,292,גולן צפוני,,ללא שיוך למטרופולין,280,"יישוב לא יהודי 9,999-5,000 תושבים",99,מועצה מקומית,19.6,5.7,2.9,2.8,291.1,5,דרוזים,100.0,,38.7,56.0,5.2,39.5,55.6,4.8,38.0,56.5,5.6,906.4,25.0,24.0,26.0,63.6,36.4,64.2,35.8,63.0,37.0,,,,,,,,,,,
296,ביר אל-מכסור,,,,998,,2,מחוז הצפון,24,נפת עכו,241,אזור שפרעם,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",280,"יישוב לא יהודי 9,999-5,000 תושבים",99,מועצה מקומית,4.6,7.4,3.8,3.7,1603.6,2,מוסלמים,99.7,,44.0,52.7,3.3,44.5,52.4,3.1,43.4,53.1,3.5,1059.1,20.0,20.0,21.0,58.4,41.6,57.7,42.3,59.2,40.8,,,,,,,,,,,
297,בית אל,,,,3574,1977,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,180,"יישוב יהודי 9,999-5,000 תושבים",99,מועצה מקומית,,5.3,2.8,2.5,,1,יהודים,99.9,22.2,54.1,43.9,2.0,53.3,44.9,1.8,55.0,42.8,2.2,1570.8,16.0,16.0,16.0,54.7,45.3,53.5,46.5,56.1,43.9,85.8,14.2,8.8,37.5,35.8,17.9,53.3,5.6,9.7,18.3,13.1
298,בית אריה,,,,3652,1981,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,190,"יישוב יהודי 4,999-2,000 תושבים",99,מועצה מקומית,,3.6,1.8,1.8,,1,יהודים,98.5,,37.3,60.2,2.5,37.5,59.7,2.8,37.2,60.7,2.1,766.4,26.0,27.0,26.0,60.6,39.4,61.1,38.9,60.1,39.9,86.7,13.3,30.2,46.3,20.9,2.6,48.9,17.7,12.2,19.1,2.1
299,בית ג'ן,,,,480,,2,מחוז הצפון,24,נפת עכו,243,אזור יחיעם,,ללא שיוך למטרופולין,270,"יישוב לא יהודי 19,999-10,000 תושבים",99,מועצה מקומית,5.1,10.4,5.2,5.2,2036.9,5,דרוזים,99.8,,37.9,56.2,5.9,39.3,55.6,5.1,36.6,56.7,6.7,930.8,24.0,23.0,24.0,61.1,38.9,62.7,37.3,59.6,40.4,,,,,,,,,,,
300,בית ג'ן,,,1,480,,2,מחוז הצפון,24,נפת עכו,243,אזור יחיעם,,ללא שיוך למטרופולין,270,"יישוב לא יהודי 19,999-10,000 תושבים",99,מועצה מקומית,,4.8,2.3,2.4,,5,דרוזים,99.7,,36.4,56.8,6.8,38.0,56.1,5.9,34.7,57.5,7.7,875.5,25.0,24.0,26.0,62.5,37.5,64.8,35.2,60.4,39.6,,,,,,,,,,,
301,בית ג'ן,,,2,480,,2,מחוז הצפון,24,נפת עכו,243,אזור יחיעם,,ללא שיוך למטרופולין,270,"יישוב לא יהודי 19,999-10,000 תושבים",99,מועצה מקומית,,3.6,1.8,1.8,,5,דרוזים,99.8,,38.7,55.9,5.4,40.0,55.2,4.8,37.4,56.6,6.0,969.8,23.0,22.0,23.0,59.8,40.2,60.5,39.5,59.1,40.9,,,,,,,,,,,
302,בית ג'ן,,,3,480,,2,מחוז הצפון,24,נפת עכו,243,אזור יחיעם,,ללא שיוך למטרופולין,270,"יישוב לא יהודי 19,999-10,000 תושבים",99,מועצה מקומית,,2.0,1.0,1.0,,5,דרוזים,99.8,,40.3,55.2,4.6,40.9,55.3,3.7,39.6,55.0,5.4,999.9,22.0,22.0,23.0,60.1,39.9,61.6,38.4,58.6,41.4,,,,,,,,,,,
303,בית דגן,,,,466,1948,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,133,"מטרופולין תל אביב, טבעת תיכונה, גזרה דרומית",180,"יישוב יהודי 9,999-5,000 תושבים",99,מועצה מקומית,1.4,6.6,3.3,3.3,4618.5,1,יהודים,99.0,,33.4,59.3,7.3,33.8,59.5,6.7,33.1,59.0,7.9,766.9,31.0,30.0,31.0,59.4,40.6,59.5,40.5,59.2,40.8,83.9,16.1,57.1,26.0,14.1,2.8,45.8,25.7,13.7,13.3,1.6
304,בית שאן,,,,9200,1948,2,מחוז הצפון,23,נפת יזרעאל,231,עמק בית שאן,,ללא שיוך למטרופולין,170,"יישוב יהודי 19,999-10,000 תושבים",0,עירייה,7.3,16.9,8.5,8.4,2302.1,1,יהודים,97.5,0.5,33.7,58.7,7.6,34.2,59.2,6.6,33.2,58.2,8.6,821.7,27.0,27.0,28.0,54.6,45.4,54.7,45.3,54.4,45.6,78.3,21.7,42.3,36.3,18.0,3.4,38.2,15.5,39.3,6.1,0.8
305,בית שאן,,,1,9200,1948,2,מחוז הצפון,23,נפת יזרעאל,231,עמק בית שאן,,ללא שיוך למטרופולין,170,"יישוב יהודי 19,999-10,000 תושבים",0,עירייה,,4.5,2.3,2.2,,1,יהודים,99.0,,35.2,59.1,5.8,35.2,59.2,5.6,35.1,58.9,6.0,809.3,26.0,27.0,26.0,58.0,42.0,57.7,42.3,58.2,41.8,79.8,20.2,41.2,34.6,21.4,2.7,39.6,13.9,39.7,6.2,0.6
306,בית שאן,,,2,9200,1948,2,מחוז הצפון,23,נפת יזרעאל,231,עמק בית שאן,,ללא שיוך למטרופולין,170,"יישוב יהודי 19,999-10,000 תושבים",0,עירייה,,2.4,1.2,1.2,,1,יהודים,95.3,,29.8,61.2,9.0,31.5,61.2,7.3,28.0,61.2,10.7,731.6,31.0,30.0,31.0,54.6,45.4,54.5,45.5,54.8,45.2,76.5,23.5,49.8,29.5,14.4,6.2,35.7,25.8,30.5,6.4,1.6
307,בית שאן,,,3,9200,1948,2,מחוז הצפון,23,נפת יזרעאל,231,עמק בית שאן,,ללא שיוך למטרופולין,170,"יישוב יהודי 19,999-10,000 תושבים",0,עירייה,,5.8,2.9,2.8,,1,יהודים,98.2,,31.5,61.6,6.9,32.1,62.0,6.0,30.9,61.2,7.9,730.6,28.0,27.0,28.0,55.3,44.7,55.0,45.0,55.7,44.3,79.1,20.9,49.1,36.4,12.9,1.6,37.3,19.1,38.3,5.0,0.3
308,בית שאן,,,4,9200,1948,2,מחוז הצפון,23,נפת יזרעאל,231,עמק בית שאן,,ללא שיוך למטרופולין,170,"יישוב יהודי 19,999-10,000 תושבים",0,עירייה,,4.3,2.1,2.2,,1,יהודים,96.1,,37.3,53.1,9.6,37.7,54.1,8.2,36.9,52.2,11.0,1038.6,26.0,25.0,26.0,49.7,50.3,50.9,49.1,48.6,51.4,76.6,23.4,30.7,41.6,22.9,4.8,39.3,6.8,45.1,7.5,1.4
309,בית שמש,,,,2610,1950,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,34.9,72.7,36.3,36.4,2082.9,1,יהודים,96.8,0.7,51.4,44.5,4.1,52.5,43.9,3.6,50.3,45.1,4.6,1368.7,16.0,15.0,17.0,66.7,33.3,68.2,31.8,65.4,34.6,74.5,25.5,9.9,15.7,47.4,27.0,46.5,5.4,17.3,17.0,13.8
310,בית שמש,,1,,2610,1950,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,16.9,8.3,8.6,,1,יהודים,93.0,,33.0,56.9,10.1,34.4,57.1,8.5,31.6,56.7,11.7,858.7,28.0,27.0,29.0,55.9,44.1,57.6,42.4,54.4,45.6,65.5,34.5,21.0,19.1,45.6,14.3,32.3,9.2,34.8,21.6,2.2
311,בית שמש,,1,12+13,2610,1950,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,5.7,2.8,2.9,,1,יהודים,91.1,,38.3,56.2,5.5,39.2,56.3,4.5,37.4,56.1,6.5,876.2,23.0,23.0,24.0,65.2,34.8,66.1,33.9,64.4,35.6,73.7,26.3,10.9,15.0,66.1,8.0,41.2,8.1,19.0,26.8,4.8
312,בית שמש,,1,14,2610,1950,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,5.1,2.5,2.6,,1,יהודים,93.9,,30.8,55.6,13.6,34.0,54.9,11.0,27.6,56.3,16.1,898.6,31.0,29.0,34.0,51.4,48.6,53.6,46.4,49.4,50.6,62.0,38.0,22.4,19.5,40.3,17.8,29.7,11.9,34.9,22.6,1.0
313,בית שמש,,1,15,2610,1950,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,2.2,1.1,1.1,,1,יהודים,92.5,,27.2,58.9,13.9,28.5,59.5,12.1,26.0,58.4,15.6,772.6,33.0,32.0,34.0,50.1,49.9,51.3,48.7,49.0,51.0,59.8,40.2,25.9,22.2,38.5,13.4,26.3,9.5,46.8,16.6,0.8
314,בית שמש,,1,16,2610,1950,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,3.9,1.9,2.0,,1,יהודים,94.8,,31.3,58.4,10.2,31.1,59.8,9.1,31.6,57.2,11.3,833.7,30.0,30.0,31.0,53.1,46.9,55.2,44.8,51.2,48.8,61.7,38.3,26.3,20.7,36.7,16.3,26.4,6.9,50.2,15.7,0.9
315,בית שמש,,2,,2610,1950,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,25.3,12.7,12.7,,1,יהודים,95.8,,49.8,46.6,3.6,50.5,46.1,3.4,49.1,47.0,3.9,1295.5,18.0,17.0,18.0,61.8,38.2,62.8,37.2,60.8,39.2,72.9,27.1,7.9,15.1,55.5,21.4,45.3,5.6,18.0,17.8,13.4
316,בית שמש,,2,21,2610,1950,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,2.5,1.3,1.2,,1,יהודים,97.4,,30.5,65.4,4.1,31.2,64.8,4.0,29.7,66.1,4.1,670.6,25.0,25.0,26.0,54.7,45.3,53.4,46.6,56.1,43.9,71.0,29.0,24.1,27.1,33.3,15.6,29.3,11.3,32.7,16.2,10.4
317,בית שמש,,2,22,2610,1950,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,4.7,2.3,2.4,,1,יהודים,93.0,,39.1,55.2,5.6,39.5,54.7,5.8,38.8,55.8,5.4,935.3,25.0,24.0,26.0,57.2,42.8,58.5,41.5,55.9,44.1,49.1,50.9,7.5,10.0,52.7,29.8,18.4,6.6,37.8,18.1,19.2
318,בית שמש,,2,23,2610,1950,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,1.1,0.5,0.5,,1,יהודים,89.2,,29.8,60.7,9.4,29.7,63.3,7.0,30.0,58.2,11.8,763.9,30.0,28.0,32.0,53.8,46.2,55.9,44.1,51.7,48.3,37.9,62.1,2.7,8.7,73.3,15.3,12.8,3.1,39.2,42.4,2.4
319,בית שמש,,2,24,2610,1950,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,3.8,1.9,1.9,,1,יהודים,88.1,,29.0,63.9,7.1,29.3,64.3,6.3,28.6,63.4,7.9,651.0,28.0,28.0,29.0,56.5,43.5,56.6,43.4,56.4,43.6,65.7,34.3,9.8,18.7,68.4,3.1,32.8,9.6,24.2,31.1,2.2
320,בית שמש,,2,25,2610,1950,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,2.9,1.4,1.5,,1,יהודים,96.2,,47.7,47.0,5.3,48.6,46.3,5.0,46.8,47.7,5.4,1268.7,19.0,19.0,19.0,63.9,36.1,67.0,33.0,61.1,38.9,55.1,44.9,3.3,14.0,52.0,30.7,19.7,5.0,11.3,23.2,40.8
321,בית שמש,,2,26,2610,1950,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,6.6,3.2,3.4,,1,יהודים,100.0,,70.8,28.8,0.4,71.2,28.4,0.4,70.4,29.3,0.4,2714.2,11.0,10.0,11.0,72.8,27.2,77.3,22.7,69.0,31.0,93.9,6.1,2.5,24.0,59.2,14.3,74.1,2.7,3.2,9.9,10.0
322,בית שמש,,2,27,2610,1950,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,3.7,1.9,1.7,,1,יהודים,100.0,,67.9,32.1,0.0,69.7,30.3,,65.9,34.1,0.1,2315.0,10.0,9.0,10.0,76.5,23.5,75.2,24.8,77.9,22.1,93.8,6.2,1.4,17.4,55.8,25.5,75.9,2.9,4.8,10.1,6.2
323,בית שמש,,3,,2610,1950,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,30.4,15.3,15.1,,1,יהודים,99.7,,63.0,35.9,1.1,64.1,34.9,1.0,61.9,36.8,1.3,1886.7,10.0,9.0,10.0,83.5,16.5,85.3,14.7,81.8,18.2,80.5,19.5,1.7,13.2,40.2,44.9,54.8,3.4,7.6,14.1,20.1
324,בית שמש,,3,31+32,2610,1950,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,6.9,3.5,3.4,,1,יהודים,99.9,,64.6,35.1,0.3,65.8,33.9,0.3,63.4,36.3,0.3,1927.0,8.0,7.0,8.0,91.5,8.5,92.4,7.6,90.6,9.4,93.2,6.8,1.9,12.2,35.2,50.6,78.2,0.9,1.9,8.9,10.1
325,בית שמש,,3,33,2610,1950,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,5.7,2.9,2.8,,1,יהודים,99.8,,65.6,34.0,0.4,66.1,33.4,0.4,65.1,34.5,0.5,2064.1,9.0,9.0,9.0,83.7,16.3,84.0,16.0,83.3,16.7,93.1,6.9,5.4,27.5,50.7,16.4,72.3,5.2,7.3,8.1,7.1
326,בית שמש,,3,34,2610,1950,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,5.4,2.7,2.7,,1,יהודים,99.8,,62.7,36.2,1.2,64.2,34.8,1.0,61.1,37.5,1.4,1834.6,10.0,9.0,10.0,82.8,17.2,85.1,14.9,80.7,19.3,74.4,25.6,1.1,11.9,37.1,49.9,43.1,4.0,10.6,17.7,24.6
327,בית שמש,,3,35,2610,1950,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,5.1,2.5,2.5,,1,יהודים,99.1,,59.2,38.5,2.3,60.7,37.3,2.1,57.6,39.8,2.5,1693.0,12.0,11.0,13.0,78.4,21.6,81.3,18.7,75.7,24.3,69.0,31.0,2.1,15.1,38.6,44.2,38.2,3.9,10.0,19.3,28.6
328,בית שמש,,3,36,2610,1950,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,4.2,2.1,2.1,,1,יהודים,99.8,,62.4,35.4,2.1,63.3,34.8,2.0,61.6,36.1,2.3,1959.8,11.0,10.0,11.0,78.1,21.9,81.3,18.7,75.2,24.8,65.3,34.7,1.1,9.3,45.1,44.5,31.5,2.5,9.1,16.9,40.0
329,בית שמש,,3,37,2610,1950,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,3.1,1.6,1.5,,1,יהודים,100.0,,62.5,36.6,0.9,63.5,36.1,0.4,61.5,37.2,1.3,1826.9,9.0,9.0,9.0,84.6,15.4,85.5,14.5,83.8,16.2,78.7,21.3,1.4,12.2,37.0,49.4,49.5,4.7,9.9,18.1,17.9
330,ביתר עילית,,,,3780,1985,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,32.9,16.5,16.4,,1,יהודים,100.0,0.3,63.2,36.2,0.6,63.8,35.5,0.6,62.5,36.9,0.7,1906.6,11.0,10.0,11.0,80.7,19.3,82.5,17.5,79.1,20.9,91.8,8.2,4.3,27.0,51.7,17.0,68.6,4.8,5.9,10.5,10.3
331,ביתר עילית,,,1,3780,1985,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,3.3,1.6,1.6,,1,יהודים,100.0,,64.2,34.1,1.7,64.1,34.1,1.9,64.4,34.1,1.6,2136.2,12.0,12.0,13.0,72.3,27.7,75.1,24.9,69.6,30.4,89.9,10.1,9.5,35.9,44.1,10.4,65.0,5.5,7.6,13.0,8.9
332,ביתר עילית,,,2,3780,1985,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,5.2,2.6,2.7,,1,יהודים,99.9,,60.3,38.6,1.1,59.7,39.3,1.1,60.9,38.0,1.1,1823.5,13.0,13.0,14.0,68.0,32.0,70.7,29.3,65.6,34.4,91.2,8.8,6.6,38.8,40.3,14.3,65.5,8.8,10.2,10.3,5.1
333,ביתר עילית,,,3,3780,1985,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,5.7,2.8,2.8,,1,יהודים,100.0,,67.1,32.2,0.7,68.2,31.2,0.6,66.0,33.3,0.7,2215.2,10.0,9.0,10.0,82.2,17.8,84.6,15.4,80.0,20.0,90.3,9.7,3.5,24.1,59.1,13.3,65.6,4.9,5.6,11.7,12.2
334,ביתר עילית,,,4,3780,1985,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,3.5,1.8,1.7,,1,יהודים,100.0,,66.2,32.9,1.0,67.5,31.5,1.0,64.8,34.3,0.9,2221.8,11.0,10.0,11.0,75.7,24.3,78.4,21.6,73.1,26.9,89.1,10.9,3.7,22.1,63.3,10.9,60.9,5.5,7.5,13.4,12.8
335,ביתר עילית,,,5,3780,1985,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,3.3,1.8,1.6,,1,יהודים,100.0,,65.8,34.0,0.3,67.0,32.8,0.2,64.4,35.3,0.3,2172.7,10.0,9.0,10.0,75.5,24.5,74.4,25.6,76.6,23.4,89.6,10.4,2.8,22.4,59.5,15.3,62.8,3.6,6.3,10.8,16.5
336,ביתר עילית,,,6,3780,1985,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,7.0,3.6,3.4,,1,יהודים,100.0,,60.0,39.8,0.2,61.3,38.6,0.1,58.7,41.0,0.2,1594.7,9.0,8.0,10.0,91.2,8.8,92.5,7.5,90.0,10.0,94.5,5.5,2.5,23.1,48.1,26.4,75.9,3.3,3.1,8.6,9.1
337,ביתר עילית,,,7,3780,1985,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,4.9,2.4,2.5,,1,יהודים,100.0,,61.5,38.4,0.1,61.8,38.2,0.1,61.3,38.6,0.1,1684.9,8.0,8.0,8.0,92.0,8.0,93.0,7.0,91.1,8.9,94.8,5.2,0.7,19.4,44.0,35.9,77.0,2.4,2.8,7.8,10.0
338,בני ברק,,,,6100,1924,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,7.3,151.8,76.6,75.2,20675.9,1,יהודים,98.6,7.0,46.2,46.4,7.4,47.7,46.4,6.0,44.7,46.5,8.9,1388.6,19.0,19.0,20.0,58.6,41.4,58.7,41.3,58.5,41.5,85.5,14.5,44.7,22.8,25.3,7.1,57.6,9.7,7.2,21.1,4.3
339,בני ברק,1,,,6100,1924,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,26.2,13.0,13.2,,1,יהודים,94.3,,34.9,54.9,10.2,36.1,55.8,8.2,33.7,54.1,12.2,936.6,25.0,25.0,25.0,55.2,44.8,56.7,43.3,53.8,46.2,76.3,23.7,37.1,20.5,34.9,7.4,47.0,19.7,12.2,19.0,2.0
340,בני ברק,1,11,,6100,1924,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,13.4,6.7,6.7,,1,יהודים,97.8,,44.0,51.3,4.7,44.2,52.0,3.8,43.9,50.6,5.5,1124.1,20.0,21.0,20.0,58.7,41.3,59.6,40.4,57.9,42.1,86.3,13.7,25.6,36.3,31.5,6.6,57.6,13.9,10.6,15.3,2.7
341,בני ברק,1,11,112,6100,1924,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,2.0,1.0,1.0,,1,יהודים,99.4,,46.5,49.4,4.1,48.2,48.6,3.3,44.7,50.4,4.9,1219.6,19.0,18.0,20.0,56.2,43.8,56.5,43.5,55.9,44.1,89.6,10.4,40.5,29.2,27.7,2.6,59.6,16.3,12.4,9.6,2.1
342,בני ברק,1,11,113+117,6100,1924,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,3.4,1.7,1.8,,1,יהודים,97.0,,44.3,51.0,4.6,44.5,51.6,3.9,44.2,50.5,5.4,1141.1,20.0,21.0,20.0,56.7,43.3,60.2,39.8,53.6,46.4,85.5,14.5,21.7,33.6,27.4,17.3,57.6,12.8,10.5,16.5,2.6
343,בני ברק,1,11,114,6100,1924,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,3.1,1.5,1.6,,1,יהודים,96.2,,41.6,51.2,7.3,42.5,51.9,5.6,40.7,50.4,8.9,1054.6,23.0,24.0,23.0,66.7,33.3,71.4,28.6,62.6,37.4,81.2,18.8,17.4,43.5,37.1,1.9,52.6,12.1,10.7,21.4,3.2
